country,orgname,repname,watchers_count,forks,open_issues,size,52weeksactivity
Canada,GNWT,consistent-user-experience,3,0,0,2392,0
Canada,infra-geo-ouverte,igo,36,14,9,39501,135
Canada,infra-geo-ouverte,igo-lib,0,0,0,26074,0
Canada,infra-geo-ouverte,module-demo,0,0,0,11,0
Canada,infra-geo-ouverte,puppet-igo,1,2,4,38,0
Canada,infra-geo-ouverte,site-web,0,4,0,4855,0
Canada,MC-MBO-WebPublishingTeam,ASP-presentation,0,0,0,108,0
Canada,MC-MBO-WebPublishingTeam,DW-Extension-HTMLinter,0,3,2,291,0
Canada,MC-MBO-WebPublishingTeam,DW-Extension-IC-Styling,0,1,0,105,0
Canada,MC-MBO-WebPublishingTeam,DW-Extension-MC-TOC,0,0,0,108,0
Canada,nrc-cnrc,AMBER,0,0,0,116,0
Canada,nrc-cnrc,EGSnrc,21,25,69,66473,121
Canada,nrc-cnrc,HTML5-whiteboard,2,0,0,1632,0
Canada,nrc-cnrc,InuktitutToolkit,0,0,2,133348,0
Canada,nrc-cnrc,Raith_GDSII,1,2,0,5180,1
Canada,NRCan,hello,1,0,0,0,0
Canada,nsgov,Bridgewater-Theme-Drupal7,0,0,0,640,0
Canada,nsgov,CLF-Templates-Argyle,1,0,0,92,0
Canada,nsgov,data-analytics,0,2,1,164,0
Canada,nsgov,DuckToller,1,1,1,651,0
Canada,nsgov,features,1,1,0,153,0
Canada,nsgov,mobi,1,0,0,1120,0
Canada,nsgov,patternlab,0,0,5,1017,0
Canada,nsgov,Saltire-Theme-Drupal7,3,3,15,6219,0
Canada,nsgov,tweetcache,2,0,0,104,0
Canada,open-data,ati-summaries,2,1,0,14621,0
Canada,open-data,ckan-datatools,2,2,0,21070,0
Canada,open-data,ckan-virtual-library-import,0,0,0,360284,0
Canada,open-data,ckanext-autodoc,0,5,0,5,0
Canada,open-data,ckanext-canada,14,16,24,15639,0
Canada,open-data,ckanext-canada-ckan-1.8,0,0,0,10572,0
Canada,open-data,ckanext-cloudstorage,6,2,2,16,19
Canada,open-data,ckanext-drupal,2,0,0,168,0
Canada,open-data,ckanext-extendedactivity,0,0,0,1,0
Canada,open-data,ckanext-fgp,0,1,0,179,0
Canada,open-data,ckanext-history,0,4,0,4,0
Canada,open-data,ckanext-recombinant,0,7,2,320,0
Canada,open-data,ckanext-repeating,2,9,0,20,0
Canada,open-data,ckanext-stcndm,0,11,6,2186,0
Canada,open-data,ckanext-virtual-library,0,3,0,124,0
Canada,open-data,ckanext-wet-boew,5,14,6,765,0
Canada,open-data,dataset-generator-sqlbased,0,0,0,282,0
Canada,open-data,dataset-generator-webscraper,1,0,0,1195,0
Canada,open-data,docker-ndm,0,0,0,8,0
Canada,open-data,harvester-FGP,0,0,0,9462,0
Canada,open-data,hnap,0,1,2,1919,0
Canada,open-data,ndm-autocomplete,0,1,0,16,0
Canada,open-data,open-data,1,0,0,512,0
Canada,open-data,open-data.github.io,0,0,0,1628,0
Canada,phac-nml,dynamic-tool-destination,3,1,0,148,0
Canada,phac-nml,ecoli_serotyping,0,0,0,7308,1
Canada,phac-nml,galaxy_tools,5,2,1,426,144
